FechaProceso	Identificador	Agregado	Descripción
06/09/1999	530	36139	línea 530
12/12/1995	531	1035	línea 531
03/01/2000	532	21078	línea 532
28/05/1995	533	22286	línea 533
18/08/1997	534	15036	línea 534
28/02/1998	535	22354	línea 535
13/11/1999	536	1614	línea 536
03/05/1998	537	22756	línea 537
02/02/1995	538	15336	línea 538
07/09/1997	539	3236	línea 539
21/01/1996	540	6148	línea 540
04/06/2000	541	33950	línea 541
30/12/1995	542	-2131	línea 542
05/04/1996	543	3867	línea 543
15/12/2000	544	20092	línea 544
06/05/1999	545	8973	línea 545
02/12/1995	546	17962	línea 546
29/03/1997	547	29255	línea 547
21/01/1996	548	-299	línea 548
02/11/1996	549	35156	línea 549
01/04/1997	550	7787	línea 550
14/05/2000	551	12414	línea 551
22/07/2000	552	24283	línea 552
07/06/1997	553	1590	línea 553
09/07/1998	554	33536	línea 554
04/11/1995	555	18580	línea 555
04/01/1997	556	8679	línea 556
14/08/1995	557	18668	línea 557
08/12/2000	558	25784	línea 558
26/05/1998	559	-2717	línea 559
26/12/1999	560	10314	línea 560
03/12/1996	561	33816	línea 561
19/09/1998	562	36467	línea 562
15/11/1998	563	19980	línea 563
01/12/1999	564	18315	línea 564
30/03/2000	565	21809	línea 565
13/06/1995	566	35719	línea 566
17/03/1995	567	8503	línea 567
03/10/1996	568	31840	línea 568
20/10/1999	569	1848	línea 569
08/07/1998	570	36166	línea 570
29/01/1999	571	32521	línea 571
18/02/2000	572	33780	línea 572
03/01/2000	573	34603	línea 573
04/03/1997	574	28529	línea 574
06/08/1995	575	-2512	línea 575
10/10/2000	576	16491	línea 576
27/06/1998	577	8823	línea 577
03/01/1997	578	10590	línea 578
21/02/1996	579	26906	línea 579
02/05/1996	580	-805	línea 580
17/10/2000	581	28715	línea 581
12/08/2000	582	9144	línea 582
25/02/1998	583	30694	línea 583
04/07/1997	584	20086	línea 584
20/01/1998	585	34546	línea 585
22/08/1995	586	31170	línea 586
24/09/2000	587	20288	línea 587
24/06/1997	588	13124	línea 588
18/04/1998	589	14152	línea 589
15/05/2000	590	23069	línea 590
10/07/1999	591	27408	línea 591
12/06/1998	592	18441	línea 592
31/03/2000	593	13036	línea 593
12/09/2000	594	35569	línea 594
16/03/1997	595	363	línea 595
04/03/1999	596	34670	línea 596
12/10/1999	597	23768	línea 597
18/03/1995	598	3911	línea 598
23/08/2000	599	28374	línea 599
10/07/1998	600	-2449	línea 600
15/05/1999	601	5403	línea 601
02/06/2000	602	2948	línea 602
04/07/1996	603	10792	línea 603
03/07/1997	604	19932	línea 604
14/01/1997	605	-47	línea 605
15/12/1998	606	33655	línea 606
15/01/1998	607	27666	línea 607
