FechaProceso	Identificador	Agregado	Descripción
10/04/1995	823	23433	línea 823
08/10/1998	824	16476	línea 824
07/03/1996	825	3388	línea 825
02/07/1996	826	4255	línea 826
30/05/1996	827	26321	línea 827
16/06/2000	828	13872	línea 828
22/12/1999	829	30689	línea 829
16/11/1997	830	725	línea 830
03/04/1995	831	58	línea 831
03/06/1999	832	6957	línea 832
13/02/1998	833	6220	línea 833
06/06/1995	834	29613	línea 834
15/09/1998	835	15699	línea 835
17/03/2000	836	25302	línea 836
30/11/1998	837	17490	línea 837
13/07/1998	838	13373	línea 838
31/12/1997	839	20158	línea 839
05/03/1996	840	22745	línea 840
14/11/1996	841	11936	línea 841
14/06/1995	842	33627	línea 842
01/08/1997	843	31367	línea 843
01/07/1995	844	10935	línea 844
13/01/2000	845	1734	línea 845
13/07/1999	846	17064	línea 846
16/12/1998	847	33826	línea 847
30/09/1998	848	16665	línea 848
04/11/2000	849	15717	línea 849
16/01/1998	850	9193	línea 850
06/01/1999	851	20276	línea 851
04/06/1995	852	23929	línea 852
11/09/1997	853	34583	línea 853
10/01/1998	854	-10	línea 854
23/01/1995	855	24479	línea 855
11/12/1997	856	13864	línea 856
11/07/1997	857	1591	línea 857
18/03/1998	858	7047	línea 858
30/12/1999	859	18285	línea 859
29/10/1995	860	16558	línea 860
27/06/1995	861	23671	línea 861
09/08/1999	862	6474	línea 862
09/10/2000	863	36816	línea 863
01/05/1998	864	16358	línea 864
24/12/1995	865	13773	línea 865
10/09/1998	866	-89	línea 866
02/08/1995	867	21411	línea 867
03/11/1996	868	29143	línea 868
23/10/2000	869	14459	línea 869
07/12/1995	870	8783	línea 870
19/02/1998	871	235	línea 871
14/10/1999	872	30377	línea 872
21/11/1995	873	30486	línea 873
13/10/1997	874	353	línea 874
20/04/1998	875	25471	línea 875
23/04/1997	876	-745	línea 876
28/01/1996	877	12467	línea 877
21/02/1998	878	20469	línea 878
17/08/1998	879	21635	línea 879
13/02/2000	880	32321	línea 880
24/12/1997	881	27453	línea 881
08/12/1999	882	15739	línea 882
08/06/1999	883	31400	línea 883
21/04/1999	884	29804	línea 884
04/01/1999	885	3459	línea 885
18/04/1999	886	14206	línea 886
15/12/1998	887	6884	línea 887
02/02/1999	888	33232	línea 888
12/12/1997	889	14892	línea 889
29/01/1999	890	-506	línea 890
01/01/2000	891	30627	línea 891
19/03/1996	892	2731	línea 892
04/05/1999	893	-2667	línea 893
27/10/1999	894	2141	línea 894
14/08/2000	895	26630	línea 895
08/03/1998	896	-1366	línea 896
02/07/1995	897	7341	línea 897
25/08/1998	898	34805	línea 898
03/07/1995	899	25222	línea 899
05/05/1996	900	14902	línea 900
30/09/2000	901	6555	línea 901
03/09/2000	902	6691	línea 902
22/10/1997	903	28851	línea 903
02/10/1995	904	-1092	línea 904
20/07/1995	905	7919	línea 905
06/05/1997	906	-613	línea 906
11/03/1995	907	16341	línea 907
18/08/1998	908	17521	línea 908
21/07/1999	909	31410	línea 909
21/09/2000	910	33060	línea 910
21/01/1996	911	18655	línea 911
11/09/1999	912	30146	línea 912
13/10/1996	913	27498	línea 913
27/06/1997	914	20321	línea 914
26/04/2000	915	19812	línea 915
09/02/1998	916	34525	línea 916
20/06/1999	917	30462	línea 917
03/08/1997	918	7573	línea 918
14/03/1996	919	14022	línea 919
19/07/1996	920	-2950	línea 920
14/02/1996	921	36185	línea 921
27/07/2000	922	20207	línea 922
08/10/1999	923	3408	línea 923
30/12/1997	924	24864	línea 924
13/11/1996	925	32289	línea 925
05/04/1997	926	21568	línea 926
05/06/1995	927	25479	línea 927
29/11/1999	928	35596	línea 928
19/10/1999	929	2141	línea 929
06/12/1998	930	12492	línea 930
03/04/1995	931	24023	línea 931
18/01/1999	932	25091	línea 932
20/05/1997	933	3754	línea 933
02/09/1998	934	24491	línea 934
14/09/1999	935	-1721	línea 935
08/12/2000	936	-1627	línea 936
15/08/2000	937	13797	línea 937
22/12/1998	938	26605	línea 938
10/11/1995	939	7038	línea 939
30/06/1997	940	33878	línea 940
09/07/1998	941	14155	línea 941
19/02/1997	942	-1274	línea 942
03/01/1998	943	32254	línea 943
19/11/1999	944	23557	línea 944
18/11/1995	945	-1109	línea 945
19/08/1998	946	28842	línea 946
08/07/1998	947	18709	línea 947
17/11/2000	948	16877	línea 948
13/08/1996	949	-825	línea 949
27/02/2000	950	27976	línea 950
02/07/2000	951	7134	línea 951
02/03/1996	952	27752	línea 952
05/02/2000	953	10078	línea 953
29/10/2000	954	8271	línea 954
09/10/1997	955	14713	línea 955
25/10/1996	956	18182	línea 956
08/04/1997	957	25054	línea 957
19/04/1997	958	35987	línea 958
13/09/1995	959	24562	línea 959
01/05/2000	960	15727	línea 960
21/01/1995	961	18610	línea 961
03/05/1997	962	31428	línea 962
27/04/1998	963	21883	línea 963
27/06/1996	964	34847	línea 964
18/07/1998	965	16191	línea 965
13/01/2000	966	22172	línea 966
04/02/1998	967	9791	línea 967
03/07/1997	968	31528	línea 968
20/01/1998	969	11636	línea 969
10/05/1995	970	3394	línea 970
28/01/1999	971	21930	línea 971
02/10/1997	972	254	línea 972
13/09/1999	973	2712	línea 973
08/10/1995	974	2341	línea 974
09/01/1995	975	7590	línea 975
09/07/1996	976	36085	línea 976
28/10/1999	977	6040	línea 977
02/04/1998	978	26337	línea 978
26/11/1997	979	34400	línea 979
30/07/1999	980	36511	línea 980
03/04/1996	981	10801	línea 981
23/03/1996	982	3736	línea 982
27/06/2000	983	26082	línea 983
17/04/1999	984	4385	línea 984
02/01/1996	985	35840	línea 985
07/08/1999	986	15748	línea 986
31/01/1999	987	5825	línea 987
04/05/1998	988	13066	línea 988
07/10/2000	989	23098	línea 989
04/10/1998	990	4926	línea 990
11/05/1998	991	25190	línea 991
08/06/1995	992	1546	línea 992
12/11/2000	993	17169	línea 993
14/09/1995	994	18371	línea 994
28/08/2000	995	20225	línea 995
22/03/1996	996	13631	línea 996
05/11/1995	997	-392	línea 997
05/04/1999	998	31292	línea 998
05/11/1999	999	32107	línea 999
06/02/1998	1000	759	línea 1000
28/09/1999	1001	1613	línea 1001
30/03/1998	1002	1754	línea 1002
26/03/1996	1003	23546	línea 1003
22/09/1996	1004	-2995	línea 1004
04/07/2000	1005	8196	línea 1005
08/08/1999	1006	34722	línea 1006
21/10/2000	1007	-2924	línea 1007
26/02/1997	1008	25118	línea 1008
23/10/2000	1009	22468	línea 1009
19/03/1998	1010	15181	línea 1010
03/01/1997	1011	6896	línea 1011
01/03/1995	1012	34112	línea 1012
30/08/1995	1013	32342	línea 1013
01/07/1998	1014	12934	línea 1014
19/09/1995	1015	-300	línea 1015
17/06/1999	1016	31115	línea 1016
28/02/1998	1017	14908	línea 1017
14/09/1998	1018	9467	línea 1018
08/10/1995	1019	16148	línea 1019
10/11/1998	1020	31539	línea 1020
23/09/1997	1021	24593	línea 1021
10/04/1996	1022	3887	línea 1022
17/02/1998	1023	9388	línea 1023
27/01/2000	1024	9400	línea 1024
23/05/1996	1025	23445	línea 1025
20/03/1996	1026	1605	línea 1026
16/04/1999	1027	30949	línea 1027
15/12/2000	1028	5117	línea 1028
18/11/1997	1029	18654	línea 1029
14/08/1998	1030	3981	línea 1030
28/10/1997	1031	3188	línea 1031
16/12/1995	1032	25047	línea 1032
11/07/1998	1033	4611	línea 1033
17/08/1996	1034	15895	línea 1034
19/03/1999	1035	29516	línea 1035
11/11/1998	1036	17304	línea 1036
09/03/1995	1037	9075	línea 1037
30/01/1998	1038	14808	línea 1038
25/11/2000	1039	747	línea 1039
22/03/1999	1040	5180	línea 1040
25/08/1999	1041	29948	línea 1041
18/08/1999	1042	33542	línea 1042
25/12/1998	1043	30557	línea 1043
12/05/1999	1044	18664	línea 1044
30/09/1998	1045	23852	línea 1045
18/11/2000	1046	31192	línea 1046
06/07/2000	1047	8982	línea 1047
23/02/2000	1048	-1031	línea 1048
14/02/1999	1049	31565	línea 1049
19/11/2000	1050	2502	línea 1050
29/10/2000	1051	18000	línea 1051
25/12/1999	1052	34415	línea 1052
29/11/1999	1053	32491	línea 1053
23/07/1998	1054	9886	línea 1054
11/03/1995	1055	24839	línea 1055
29/05/2000	1056	20201	línea 1056
30/08/1998	1057	27698	línea 1057
22/04/1995	1058	35605	línea 1058
02/09/1995	1059	20216	línea 1059
06/10/1998	1060	32929	línea 1060
30/05/2000	1061	4454	línea 1061
16/08/1997	1062	13340	línea 1062
25/08/1997	1063	2440	línea 1063
27/09/1995	1064	16354	línea 1064
04/08/1996	1065	6856	línea 1065
31/01/1998	1066	-2773	línea 1066
06/01/1997	1067	36774	línea 1067
15/02/2000	1068	4449	línea 1068
26/08/1999	1069	13139	línea 1069
10/09/1999	1070	23161	línea 1070
11/12/1996	1071	17966	línea 1071
12/06/1998	1072	14519	línea 1072
31/07/1996	1073	9201	línea 1073
23/02/1995	1074	11994	línea 1074
30/01/1999	1075	-1534	línea 1075
15/08/1999	1076	12312	línea 1076
29/11/1996	1077	1968	línea 1077
28/11/1995	1078	31370	línea 1078
14/08/2000	1079	5412	línea 1079
19/10/2000	1080	3477	línea 1080
05/05/1997	1081	20173	línea 1081
17/06/1998	1082	2375	línea 1082
16/01/1996	1083	16166	línea 1083
10/10/1998	1084	13836	línea 1084
15/12/2000	1085	12400	línea 1085
03/03/1999	1086	-47	línea 1086
02/03/1996	1087	14628	línea 1087
04/08/1997	1088	21845	línea 1088
30/05/1996	1089	26981	línea 1089
27/03/1997	1090	11763	línea 1090
09/09/1995	1091	17097	línea 1091
20/08/2000	1092	21177	línea 1092
02/10/1999	1093	35440	línea 1093
08/05/1996	1094	16584	línea 1094
16/02/1996	1095	18373	línea 1095
11/01/2000	1096	18519	línea 1096
06/01/1996	1097	1880	línea 1097
21/09/2000	1098	26075	línea 1098
14/07/1995	1099	9129	línea 1099
17/01/1995	1100	26280	línea 1100
29/09/1995	1101	1092	línea 1101
20/08/1995	1102	-2455	línea 1102
08/08/1998	1103	19564	línea 1103
11/10/1995	1104	487	línea 1104
18/09/1995	1105	5702	línea 1105
18/08/1996	1106	24494	línea 1106
15/10/1995	1107	28813	línea 1107
24/09/2000	1108	18084	línea 1108
01/10/1998	1109	25520	línea 1109
12/02/1997	1110	25074	línea 1110
15/05/1998	1111	20525	línea 1111
22/08/2000	1112	33937	línea 1112
26/05/2000	1113	2554	línea 1113
02/03/1999	1114	16680	línea 1114
04/02/1999	1115	27524	línea 1115
06/05/1999	1116	26427	línea 1116
31/12/1996	1117	22887	línea 1117
06/04/1997	1118	-2088	línea 1118
13/06/1999	1119	7125	línea 1119
14/06/1998	1120	3751	línea 1120
10/06/2000	1121	16739	línea 1121
19/09/1999	1122	3038	línea 1122
24/08/1999	1123	792	línea 1123
05/03/1999	1124	33684	línea 1124
29/05/1998	1125	8855	línea 1125
30/11/1997	1126	23408	línea 1126
26/07/1996	1127	17578	línea 1127
26/05/2000	1128	26284	línea 1128
18/03/1995	1129	35560	línea 1129
12/07/2000	1130	7357	línea 1130
23/06/1995	1131	23623	línea 1131
20/12/2000	1132	22827	línea 1132
