FechaProceso	Identificador	Agregado	Descripción
24/04/1999	61	16798	línea 61
19/04/1999	62	17569	línea 62
21/05/2000	63	30170	línea 63
07/09/1998	64	24509	línea 64
15/02/2000	65	20958	línea 65
22/05/1996	66	10920	línea 66
05/02/2000	67	10190	línea 67
19/06/1996	68	32466	línea 68
12/03/1999	69	18499	línea 69
07/09/1995	70	29390	línea 70
05/04/1999	71	34229	línea 71
11/07/1996	72	12140	línea 72
06/10/1995	73	5740	línea 73
16/09/1995	74	4450	línea 74
26/05/1995	75	11595	línea 75
07/05/1996	76	4840	línea 76
27/02/1999	77	11715	línea 77
12/01/1999	78	33774	línea 78
18/08/1996	79	11566	línea 79
23/01/2000	80	7465	línea 80
11/11/2000	81	5191	línea 81
17/10/1998	82	34709	línea 82
15/11/1996	83	-2770	línea 83
16/04/1998	84	16370	línea 84
07/09/1996	85	18343	línea 85
03/06/1995	86	25168	línea 86
13/04/2000	87	33566	línea 87
19/01/1998	88	36627	línea 88
21/09/1998	89	21865	línea 89
19/12/2000	90	21482	línea 90
05/09/1999	91	34692	línea 91
03/01/1998	92	11764	línea 92
19/06/2000	93	12177	línea 93
23/10/1996	94	13443	línea 94
22/03/1996	95	21769	línea 95
10/12/1996	96	19268	línea 96
30/03/1997	97	17304	línea 97
08/08/1999	98	31969	línea 98
26/04/1996	99	27756	línea 99
27/08/2000	100	2496	línea 100
25/09/1995	101	36582	línea 101
31/01/2000	102	32498	línea 102
12/01/2000	103	-2451	línea 103
22/09/1999	104	8548	línea 104
22/03/1998	105	13508	línea 105
30/12/2000	106	21194	línea 106
20/07/1998	107	31371	línea 107
24/06/1995	108	23453	línea 108
12/09/1998	109	10169	línea 109
17/04/1999	110	2506	línea 110
27/10/2000	111	22201	línea 111
22/08/1995	112	11058	línea 112
29/03/1995	113	22029	línea 113
19/11/1995	114	12785	línea 114
17/06/1995	115	11776	línea 115
24/10/1997	116	-1065	línea 116
15/01/2000	117	26662	línea 117
23/10/1995	118	17088	línea 118
10/10/1998	119	-1239	línea 119
30/12/1995	120	7841	línea 120
01/05/2000	121	-981	línea 121
14/07/1999	122	16171	línea 122
03/12/1998	123	8110	línea 123
17/12/1998	124	32741	línea 124
23/12/1998	125	3696	línea 125
20/01/1997	126	-2519	línea 126
10/04/1998	127	16059	línea 127
30/12/1999	128	29390	línea 128
24/11/1995	129	20607	línea 129
20/05/2000	130	30113	línea 130
28/09/1997	131	851	línea 131
24/08/1997	132	34871	línea 132
24/03/1995	133	18126	línea 133
14/03/1999	134	8833	línea 134
21/07/2000	135	5159	línea 135
25/05/1995	136	31937	línea 136
07/10/1996	137	27162	línea 137
19/05/1998	138	5875	línea 138
11/06/1995	139	4851	línea 139
09/04/1998	140	8786	línea 140
14/10/2000	141	30146	línea 141
08/12/1995	142	30387	línea 142
28/08/1999	143	32741	línea 143
14/07/1996	144	14588	línea 144
20/01/1996	145	12845	línea 145
23/05/1998	146	2523	línea 146
22/10/1999	147	-2356	línea 147
05/12/1998	148	36289	línea 148
17/09/1996	149	-2237	línea 149
11/01/1998	150	34086	línea 150
29/01/1996	151	12220	línea 151
19/03/1997	152	30158	línea 152
08/12/2000	153	9643	línea 153
08/08/1999	154	3426	línea 154
08/09/1996	155	33632	línea 155
11/04/2000	156	32538	línea 156
16/05/1997	157	20602	línea 157
29/10/1999	158	18466	línea 158
18/05/1996	159	35450	línea 159
08/06/1996	160	3690	línea 160
27/07/1997	161	-1171	línea 161
24/09/1999	162	16369	línea 162
20/08/1999	163	30418	línea 163
10/03/1997	164	4220	línea 164
30/11/2000	165	-1666	línea 165
21/10/1995	166	31153	línea 166
07/08/1999	167	1745	línea 167
30/11/1996	168	4609	línea 168
21/10/1997	169	26791	línea 169
05/02/1998	170	24310	línea 170
02/10/1997	171	13528	línea 171
16/02/1998	172	17843	línea 172
14/03/2000	173	15064	línea 173
22/11/1995	174	16715	línea 174
17/12/2000	175	10365	línea 175
20/10/1997	176	10604	línea 176
25/03/1999	177	9531	línea 177
31/10/2000	178	8626	línea 178
24/01/1998	179	24453	línea 179
03/12/1999	180	24106	línea 180
11/10/1999	181	24893	línea 181
23/08/1998	182	24723	línea 182
15/08/2000	183	26458	línea 183
02/07/1999	184	33129	línea 184
17/07/1999	185	19485	línea 185
12/04/2000	186	30828	línea 186
12/07/2000	187	8340	línea 187
09/07/1997	188	-182	línea 188
05/08/1998	189	13147	línea 189
04/09/1999	190	4137	línea 190
02/12/2000	191	11923	línea 191
23/01/2000	192	36140	línea 192
26/01/1996	193	8869	línea 193
03/09/1999	194	2261	línea 194
17/12/1995	195	28756	línea 195
26/09/1999	196	34635	línea 196
28/06/1999	197	19816	línea 197
08/10/1997	198	35276	línea 198
17/02/1997	199	11725	línea 199
09/01/1998	200	21663	línea 200
25/04/1998	201	30718	línea 201
12/05/1996	202	30578	línea 202
20/09/1998	203	16212	línea 203
25/12/2000	204	2728	línea 204
23/06/1999	205	35883	línea 205
19/03/2000	206	9220	línea 206
29/09/1995	207	11709	línea 207
19/06/1999	208	15849	línea 208
02/03/1995	209	11356	línea 209
11/04/1995	210	7942	línea 210
01/04/2000	211	35314	línea 211
21/09/1996	212	6697	línea 212
14/12/1998	213	12919	línea 213
29/05/1998	214	36063	línea 214
19/10/1997	215	21387	línea 215
08/11/2000	216	-2459	línea 216
06/10/2000	217	2177	línea 217
03/12/2000	218	11698	línea 218
29/11/1996	219	4119	línea 219
20/08/1998	220	6480	línea 220
18/07/1998	221	7070	línea 221
25/11/1996	222	1621	línea 222
07/04/1999	223	11395	línea 223
21/01/1996	224	10663	línea 224
27/07/1996	225	-1928	línea 225
10/12/1995	226	30034	línea 226
18/07/1998	227	21256	línea 227
12/11/1999	228	32328	línea 228
31/10/1996	229	4723	línea 229
22/09/1999	230	35658	línea 230
15/12/1996	231	2697	línea 231
11/10/2000	232	5075	línea 232
06/08/2000	233	7810	línea 233
26/07/1999	234	27405	línea 234
05/12/1998	235	13302	línea 235
15/12/1996	236	-1831	línea 236
24/04/1995	237	5820	línea 237
10/08/1999	238	7979	línea 238
05/09/1995	239	16404	línea 239
29/11/1995	240	33346	línea 240
26/10/1996	241	11281	línea 241
25/05/1997	242	35321	línea 242
21/10/2000	243	-2169	línea 243
18/02/1999	244	29491	línea 244
05/10/1995	245	32761	línea 245
27/09/1999	246	30462	línea 246
07/11/1999	247	3236	línea 247
16/07/1996	248	21230	línea 248
07/08/1997	249	5882	línea 249
08/09/1999	250	26645	línea 250
12/10/1996	251	-2850	línea 251
02/07/1995	252	-2163	línea 252
20/12/1997	253	33591	línea 253
26/01/1998	254	4162	línea 254
14/02/1997	255	-1960	línea 255
19/12/1998	256	24483	línea 256
18/09/1997	257	9577	línea 257
31/01/1998	258	8777	línea 258
03/05/1998	259	-1473	línea 259
31/07/1997	260	26302	línea 260
20/08/1998	261	15819	línea 261
01/07/1995	262	13642	línea 262
18/12/1998	263	23578	línea 263
03/01/1998	264	33093	línea 264
29/01/2000	265	-135	línea 265
17/03/1995	266	34686	línea 266
15/05/1996	267	17895	línea 267
04/10/1996	268	13092	línea 268
28/11/1996	269	25295	línea 269
03/08/1997	270	17507	línea 270
05/09/1999	271	9956	línea 271
26/05/2000	272	1395	línea 272
14/03/2000	273	7012	línea 273
22/03/1999	274	16679	línea 274
22/09/2000	275	29846	línea 275
13/10/1998	276	3217	línea 276
15/06/1996	277	16926	línea 277
29/06/1997	278	22183	línea 278
23/03/1998	279	35546	línea 279
21/03/1999	280	35094	línea 280
06/09/1995	281	26804	línea 281
08/09/2000	282	9893	línea 282
03/09/2000	283	15359	línea 283
18/11/1995	284	-1246	línea 284
09/01/1997	285	30012	línea 285
24/11/1997	286	12441	línea 286
18/03/1996	287	34615	línea 287
14/12/1995	288	32176	línea 288
14/07/1995	289	27713	línea 289
28/01/1995	290	16907	línea 290
19/01/1999	291	29340	línea 291
05/04/1998	292	12837	línea 292
28/04/1996	293	8154	línea 293
17/06/1997	294	1041	línea 294
06/08/1998	295	9228	línea 295
19/09/2000	296	14211	línea 296
22/09/1995	297	749	línea 297
21/09/2000	298	31787	línea 298
11/04/1999	299	-2928	línea 299
12/03/1996	300	12320	línea 300
