FechaProceso	Identificador	Agregado	Descripción
10/04/1999	301	36483	línea 301
27/09/1995	302	7925	línea 302
02/04/2000	303	22703	línea 303
26/09/1997	304	-1557	línea 304
23/07/1999	305	33698	línea 305
09/08/1996	306	28640	línea 306
19/11/1997	307	19006	línea 307
30/05/1999	308	-906	línea 308
17/07/1996	309	28079	línea 309
16/06/1996	310	1493	línea 310
02/08/2000	311	28257	línea 311
05/11/1995	312	15692	línea 312
05/12/1995	313	20947	línea 313
16/11/1998	314	24083	línea 314
23/02/1998	315	22542	línea 315
01/10/1996	316	21903	línea 316
14/02/1998	317	28087	línea 317
18/10/1999	318	-344	línea 318
12/07/1995	319	20643	línea 319
24/08/1995	320	27754	línea 320
07/01/1996	321	24907	línea 321
16/06/1996	322	24154	línea 322
24/01/1995	323	16545	línea 323
28/02/1999	324	32918	línea 324
23/05/1997	325	25562	línea 325
24/02/1998	326	287	línea 326
19/09/1997	327	8825	línea 327
14/04/1996	328	6646	línea 328
25/03/1998	329	13583	línea 329
05/08/1998	330	8508	línea 330
09/10/1995	331	18368	línea 331
26/10/1999	332	35914	línea 332
29/12/1999	333	12312	línea 333
03/11/1999	334	26723	línea 334
12/08/1996	335	1330	línea 335
03/02/1995	336	-746	línea 336
16/05/1997	337	-2928	línea 337
09/04/1995	338	-1314	línea 338
31/05/1996	339	11817	línea 339
25/06/1996	340	23195	línea 340
11/03/1999	341	33585	línea 341
06/02/1999	342	34429	línea 342
12/08/1999	343	16811	línea 343
03/01/1997	344	-1957	línea 344
17/08/1997	345	34668	línea 345
15/01/2000	346	19819	línea 346
02/02/1998	347	-602	línea 347
04/06/1997	348	32132	línea 348
09/09/1997	349	14801	línea 349
18/01/1995	350	36650	línea 350
01/10/1997	351	14212	línea 351
21/08/1997	352	2409	línea 352
05/06/1995	353	5984	línea 353
15/04/1997	354	13446	línea 354
23/11/1997	355	6822	línea 355
18/06/1996	356	17379	línea 356
28/11/1998	357	4463	línea 357
12/11/1998	358	16021	línea 358
02/07/2000	359	5708	línea 359
29/12/1995	360	29543	línea 360
06/02/1998	361	27147	línea 361
29/09/1996	362	29444	línea 362
13/08/1995	363	21266	línea 363
12/08/1996	364	20887	línea 364
25/08/1995	365	34066	línea 365
07/06/1997	366	21555	línea 366
21/09/1995	367	20067	línea 367
22/11/1997	368	3120	línea 368
26/07/1998	369	36818	línea 369
19/12/2000	370	19219	línea 370
24/03/1999	371	19774	línea 371
10/10/1995	372	10534	línea 372
12/10/1998	373	34236	línea 373
20/10/1995	374	-2700	línea 374
12/04/1998	375	19702	línea 375
14/12/2000	376	5698	línea 376
18/01/1999	377	18956	línea 377
03/11/2000	378	4118	línea 378
29/03/2000	379	18761	línea 379
06/11/1997	380	-2813	línea 380
21/08/1998	381	8070	línea 381
06/12/1995	382	16178	línea 382
16/08/1999	383	20510	línea 383
17/07/1995	384	9091	línea 384
31/10/1998	385	-54	línea 385
11/02/1995	386	14486	línea 386
04/06/1997	387	17906	línea 387
04/09/1995	388	24250	línea 388
28/04/1995	389	11932	línea 389
08/12/1995	390	34903	línea 390
14/08/2000	391	22370	línea 391
12/04/2000	392	20372	línea 392
03/02/1997	393	10615	línea 393
21/09/1997	394	7722	línea 394
02/04/1998	395	24991	línea 395
14/07/1996	396	7342	línea 396
05/04/1998	397	6673	línea 397
25/04/2000	398	22596	línea 398
06/06/1998	399	18685	línea 399
08/07/1998	400	6202	línea 400
19/05/2000	401	23734	línea 401
10/05/1998	402	4317	línea 402
24/09/1997	403	34589	línea 403
25/09/1997	404	1394	línea 404
14/09/1996	405	16693	línea 405
30/09/2000	406	9806	línea 406
14/09/1997	407	20560	línea 407
12/06/1996	408	17105	línea 408
13/11/1995	409	23734	línea 409
30/07/1997	410	9088	línea 410
08/09/1996	411	-930	línea 411
28/09/1996	412	7676	línea 412
06/07/1995	413	29883	línea 413
12/11/1999	414	33300	línea 414
06/03/1998	415	3581	línea 415
09/08/1997	416	21765	línea 416
01/04/1996	417	35173	línea 417
04/02/1995	418	5505	línea 418
14/11/2000	419	6515	línea 419
07/11/1995	420	28466	línea 420
19/04/1999	421	894	línea 421
19/09/1995	422	21001	línea 422
17/07/1998	423	30797	línea 423
30/06/1996	424	6630	línea 424
11/01/1996	425	27290	línea 425
13/07/1998	426	26628	línea 426
13/01/1999	427	1369	línea 427
20/02/1999	428	30715	línea 428
21/12/1997	429	11065	línea 429
26/10/1996	430	13167	línea 430
15/09/1995	431	24023	línea 431
13/02/1998	432	11098	línea 432
03/07/1996	433	31773	línea 433
30/11/1997	434	25819	línea 434
18/06/1997	435	11998	línea 435
21/03/1997	436	2056	línea 436
14/06/1999	437	27012	línea 437
15/08/1995	438	36476	línea 438
07/09/1995	439	374	línea 439
12/06/1996	440	17133	línea 440
27/06/1999	441	12238	línea 441
28/07/1997	442	32036	línea 442
06/05/2000	443	21769	línea 443
23/10/1998	444	18199	línea 444
13/06/1999	445	15500	línea 445
10/06/2000	446	35834	línea 446
13/07/1999	447	14434	línea 447
27/10/1997	448	26561	línea 448
27/01/1998	449	24117	línea 449
16/04/1998	450	4992	línea 450
14/05/1997	451	-1877	línea 451
20/05/1996	452	163	línea 452
30/03/1997	453	18281	línea 453
02/08/1997	454	34273	línea 454
17/04/1995	455	8193	línea 455
19/10/1995	456	6269	línea 456
25/12/1997	457	32106	línea 457
20/06/2000	458	35023	línea 458
10/11/1997	459	19441	línea 459
07/05/1998	460	24647	línea 460
09/02/1999	461	13460	línea 461
18/06/1995	462	18802	línea 462
12/11/2000	463	27310	línea 463
09/10/2000	464	33253	línea 464
08/03/1995	465	23351	línea 465
26/04/1998	466	7953	línea 466
08/11/2000	467	12272	línea 467
02/07/1998	468	29500	línea 468
05/10/1995	469	2026	línea 469
27/09/2000	470	32692	línea 470
19/08/2000	471	26479	línea 471
27/07/1995	472	21697	línea 472
20/10/1998	473	10334	línea 473
25/09/1998	474	18708	línea 474
31/08/1997	475	12110	línea 475
21/09/1999	476	8364	línea 476
18/06/1998	477	30887	línea 477
21/03/1995	478	4474	línea 478
29/11/1999	479	31900	línea 479
20/03/1998	480	28579	línea 480
24/08/1996	481	20372	línea 481
23/04/2000	482	10685	línea 482
08/11/1998	483	32692	línea 483
23/02/1995	484	2314	línea 484
30/01/1998	485	-649	línea 485
11/09/1999	486	8288	línea 486
11/09/1998	487	25812	línea 487
06/06/2000	488	9311	línea 488
08/10/1998	489	16606	línea 489
11/08/1999	490	8320	línea 490
02/02/1995	491	17174	línea 491
19/02/1995	492	12732	línea 492
17/09/1999	493	22647	línea 493
28/11/1996	494	9663	línea 494
08/12/1999	495	31849	línea 495
16/09/1999	496	11010	línea 496
14/10/1996	497	5520	línea 497
07/10/1995	498	11101	línea 498
03/02/1996	499	11068	línea 499
17/01/2000	500	29802	línea 500
18/09/1999	501	28798	línea 501
03/05/1997	502	27387	línea 502
23/02/1997	503	13929	línea 503
10/06/1996	504	32554	línea 504
12/02/1997	505	-2038	línea 505
08/05/1999	506	8453	línea 506
30/12/1999	507	25533	línea 507
15/11/1995	508	4929	línea 508
28/12/1998	509	18983	línea 509
26/09/1995	510	29355	línea 510
11/03/1998	511	22187	línea 511
15/07/1999	512	12483	línea 512
12/10/1995	513	19638	línea 513
26/11/2000	514	14825	línea 514
22/04/1997	515	8042	línea 515
10/10/1996	516	3466	línea 516
03/05/1998	517	4441	línea 517
21/10/1999	518	-1374	línea 518
09/03/1997	519	15035	línea 519
24/09/1999	520	14680	línea 520
18/01/1999	521	35820	línea 521
07/10/1995	522	25142	línea 522
09/11/1998	523	23818	línea 523
13/01/1996	524	630	línea 524
17/08/1997	525	16283	línea 525
10/03/1998	526	16826	línea 526
28/09/1998	527	28427	línea 527
06/08/1995	528	6019	línea 528
06/05/1998	529	25045	línea 529
