FechaProceso	Identificador	Agregado	Descripción
13/09/1996	1133	7046	línea 1133
01/03/1997	1134	14462	línea 1134
31/05/2000	1135	5155	línea 1135
09/08/1998	1136	32150	línea 1136
26/07/2000	1137	-1538	línea 1137
22/01/1998	1138	-50	línea 1138
23/12/1995	1139	8195	línea 1139
21/07/1997	1140	-2468	línea 1140
02/05/1995	1141	27256	línea 1141
17/12/1998	1142	31163	línea 1142
10/08/1998	1143	6635	línea 1143
26/10/1997	1144	12714	línea 1144
11/03/1996	1145	13531	línea 1145
20/04/1995	1146	18178	línea 1146
01/04/1998	1147	12457	línea 1147
11/11/1995	1148	13657	línea 1148
23/12/1999	1149	26038	línea 1149
10/08/1998	1150	26946	línea 1150
17/10/1997	1151	10574	línea 1151
22/01/1997	1152	12951	línea 1152
30/10/1997	1153	30634	línea 1153
22/09/1997	1154	27723	línea 1154
11/12/1999	1155	4995	línea 1155
05/01/1998	1156	-1369	línea 1156
21/10/1996	1157	14416	línea 1157
03/02/1995	1158	15234	línea 1158
28/12/2000	1159	12830	línea 1159
26/05/1996	1160	23228	línea 1160
26/10/2000	1161	2347	línea 1161
09/04/1996	1162	19732	línea 1162
02/02/1999	1163	31596	línea 1163
01/12/2000	1164	22966	línea 1164
12/02/1995	1165	24230	línea 1165
03/03/1999	1166	17297	línea 1166
12/12/1997	1167	17503	línea 1167
31/03/2000	1168	24762	línea 1168
15/09/1998	1169	21046	línea 1169
26/09/1995	1170	-341	línea 1170
03/03/1997	1171	8245	línea 1171
08/12/2000	1172	-2796	línea 1172
17/07/2000	1173	24563	línea 1173
04/03/1997	1174	33695	línea 1174
07/09/1998	1175	14012	línea 1175
26/08/1995	1176	17701	línea 1176
08/11/2000	1177	22486	línea 1177
25/06/1998	1178	35545	línea 1178
06/11/1999	1179	13144	línea 1179
26/03/1997	1180	-680	línea 1180
18/05/1995	1181	33699	línea 1181
24/12/2000	1182	34150	línea 1182
13/11/1995	1183	21719	línea 1183
29/02/2000	1184	-2578	línea 1184
07/06/1996	1185	24579	línea 1185
09/06/2000	1186	28935	línea 1186
03/09/1998	1187	6484	línea 1187
14/04/2000	1188	2232	línea 1188
05/01/1999	1189	19790	línea 1189
22/08/1998	1190	33414	línea 1190
07/03/1997	1191	21413	línea 1191
30/08/1996	1192	12795	línea 1192
08/05/1995	1193	33992	línea 1193
10/09/1997	1194	23745	línea 1194
09/12/1998	1195	18063	línea 1195
09/12/1999	1196	21727	línea 1196
31/03/1995	1197	19891	línea 1197
26/07/1998	1198	35880	línea 1198
06/11/2000	1199	33034	línea 1199
04/06/1999	1200	28490	línea 1200
09/08/1996	1201	7789	línea 1201
14/01/1995	1202	29970	línea 1202
31/05/1999	1203	20631	línea 1203
17/06/1997	1204	32844	línea 1204
18/06/1999	1205	20408	línea 1205
12/12/1997	1206	10685	línea 1206
30/07/2000	1207	24594	línea 1207
25/06/1995	1208	19880	línea 1208
06/01/1995	1209	12687	línea 1209
28/11/2000	1210	25090	línea 1210
22/02/1997	1211	15938	línea 1211
31/03/1997	1212	27261	línea 1212
25/06/1999	1213	22036	línea 1213
11/05/1999	1214	34552	línea 1214
07/03/2000	1215	15626	línea 1215
25/08/1998	1216	31810	línea 1216
11/08/2000	1217	19274	línea 1217
27/03/2000	1218	32073	línea 1218
31/08/1995	1219	-921	línea 1219
22/12/2000	1220	10053	línea 1220
11/07/1995	1221	31357	línea 1221
05/03/1999	1222	7546	línea 1222
21/11/1997	1223	28403	línea 1223
10/06/2000	1224	29788	línea 1224
06/12/1996	1225	652	línea 1225
04/09/1999	1226	19006	línea 1226
22/10/1996	1227	-1057	línea 1227
22/09/2000	1228	-974	línea 1228
07/06/1995	1229	12692	línea 1229
14/12/1996	1230	20344	línea 1230
26/06/1997	1231	35083	línea 1231
24/05/1997	1232	18256	línea 1232
